ax,ay,az
1020,-1968,16300
764,-2324,16380
1660,-1108,16992
1620,-1944,17168
2072,-1220,16744
1880,-2464,17984
2636,-1996,17136
3548,-1140,15604
2584,-2072,16732
2828,-2364,16596
3644,-1496,15952
3980,-1456,16644
4348,-2092,16640
5344,-1552,15508
7192,-204,15096
7868,-780,15044
9380,-340,15752
10436,-576,14184
11580,-272,12472
12924,-552,10784
13808,348,9240
14500,852,7808
14704,472,6480
15672,620,4860
16140,1944,2444
16232,1644,2356
16080,1812,12
16228,2616,-784
15592,2128,-2048
15028,2404,-4208
14960,3796,-4780
14852,4332,-5084
14420,3784,-6564
14192,3476,-6088
14012,1996,-1244
15772,1748,2608
16028,2452,3496
15004,1176,6684
14524,1144,7488
13556,1356,9748
12944,752,10564
12012,320,11676
11200,12,12532
9332,-836,14088
7952,-1412,14448
5904,-1984,16448
3944,-1500,17380
2148,-1884,17664
692,-2744,17468
-1072,-3224,16468
-2488,-2024,16076
-4160,-5144,15312
-5180,-4472,17140
-4476,-3724,17196
-1720,-3108,16536
364,-1784,17660
1672,-1056,17464
3128,-260,17120
4284,536,16244
5960,720,15408
7764,1028,14772
7988,1956,15064
8512,1680,14812
9044,932,14764
9788,996,14584
11436,1192,12732
12556,1432,11536
13884,2196,8744
14312,2132,8576
14656,2156,7360
14732,1752,5836
15352,2344,5080
15996,2940,4700
15476,2748,1728
16156,2824,1208
16268,2800,48
15916,3008,-296
15952,2620,-1924
14492,4000,-4220
16124,2604,-2296
17720,5292,504
16356,4492,1852
15556,2492,2796
14840,1468,5844
14004,916,7904
13160,1184,9400
11772,740,10760
11232,844,12456
10452,1068,14088
9484,928,14880
8908,1284,15168
6764,436,15252
5260,-188,16456
4684,136,16236
3168,-576,16472
1668,-1480,15628
1168,-136,18156
1656,188,18020
1988,-684,18180
3760,-488,18800
6728,2012,16132
8612,2392,14472
9944,2520,12880
11640,3064,11860
12516,3184,10400
13116,2940,9820
14328,3276,7332
14932,3828,6832
15240,3028,7064
15476,2952,4424
15544,2944,3032
16064,3508,1308
15756,3316,20
15848,3008,-1136
16020,3212,-1564
15900,2688,-2920
15408,1800,-4136
15860,692,844
15432,1004,2808
15568,1116,8212
13892,204,9524
11968,-816,11912
9060,-1936,12728
6836,-2800,14460
6424,-2016,16056
5588,-2232,16640
4568,-2068,16896
3764,-2032,16248
2496,-1088,17144
2692,452,16444
1864,1148,17144
1456,2208,17068
1008,2680,16612
684,3972,16560
1000,5488,15836
-32,6784,15668
-420,7612,15476
-652,8532,14548
-976,9628,14612
-1556,10488,14132
-1656,11056,13180
-1852,11756,11528
-2388,12532,10156
-1592,13860,10804
-1480,15072,8664
-2200,14412,7944
-2584,15012,6464
-3172,15492,5184
-3260,16284,4672
-3804,16516,5672
-3348,15844,4784
-3064,14416,5448
-1432,14940,9756
-1076,14536,9352
-844,12900,9852
376,12708,10152
644,12196,12580
416,9924,12504
876,9312,13940
1368,7968,14368
2392,7476,14596
2092,4948,15828
3680,4228,16704
3204,3172,15856
4192,2348,16740
4264,1132,16860
4924,536,16816
5088,-2136,16696
4720,-3704,14828
5208,-4960,14316
5724,-5816,14468
