ax,ay,az
584,-368,16896
324,-500,17100
484,-388,17036
328,-936,17284
184,-1456,17180
276,-1448,17152
524,-1220,16852
1448,-684,17340
348,-1132,17580
208,-1272,17072
1148,168,17712
580,-140,17008
264,-704,16688
532,-848,17212
1068,-972,17496
568,-2240,16932
716,-1624,16884
344,-1512,17116
544,-1024,16908
688,-1148,17220
872,-1668,17268
964,-1644,16944
736,-880,17084
464,-936,16988
772,-824,16988
652,-1100,17412
640,-1172,17048
412,-1704,17100
636,-1840,16996
808,-1876,16584
948,-1292,17048
864,-1308,16980
820,-1396,17136
916,-1336,16916
672,-1136,17172
688,-748,17104
1048,-412,17056
912,-364,17300
700,-1564,16840
664,-1872,17056
540,-1976,16592
808,-1992,16384
220,-1872,16876
308,-932,17620
832,-500,16904
884,-692,16892
996,-812,16188
400,-1148,16836
452,-1268,17148
692,-1008,17680
588,-920,17792
588,-648,17428
384,-1320,16256
812,-948,17020
912,-1120,18016
488,-996,17124
508,-744,16924
356,-688,17124
756,-472,17232
1060,-788,17252
792,-1268,17016
560,-1248,16876
272,-1504,16848
672,-772,17328
360,-1196,17308
332,-1016,17208
1308,-976,16656
620,-1416,16920
796,-1328,16728
364,-1372,17668
264,-1108,17100
180,-1540,17512
568,-1228,17464
452,-1360,16976
704,-568,16868
996,-920,16996
604,-1164,17188
740,-1156,17168
776,-1148,16968
664,-1232,17076
568,-1344,16812
872,-1404,16864
824,-1452,16828
744,-1192,17276
404,-984,17136
-32,-952,17128
520,-840,17336
536,-640,17272
416,-856,17108
968,-1264,16476
584,-1644,17484
696,-1220,17072
300,-728,16904
284,-668,17152
252,-872,17528
-124,-1264,17468
-152,-924,16728
-316,-1424,16780
856,-792,16916
208,-1556,16996
184,-1312,17424
836,-936,16864
464,-652,17844
388,-952,16964
224,-676,17980
564,-1056,17500
996,-1148,17096
1028,-896,16460
736,-1092,16412
1208,-836,15876
1320,-836,16156
936,-772,17832
1044,-916,17364
748,-608,17236
544,-1284,17088
856,-576,16440
828,-1040,16844
604,-904,17400
304,-948,16880
72,-1216,16728
136,-944,17400
352,-808,17384
296,-772,17044
48,-940,17024
-84,-992,17232
-88,-856,17344
20,-800,16872
-160,-1056,17764
