ax,ay,az
208,564,17320
292,344,17304
144,604,17224
-4,592,17132
48,116,17116
-152,100,16924
-216,496,16916
28,212,16824
-116,264,17168
-240,268,17084
-120,240,17140
144,540,17092
88,332,17080
16,464,17160
-36,460,17088
-164,256,17000
-12,380,17184
-52,628,17160
32,404,17112
100,396,17128
60,376,17204
-4,516,17240
124,460,17180
72,524,17284
-8,380,17144
-80,292,17016
40,252,17044
-20,256,17072
-36,244,17164
84,308,17156
-40,156,17220
52,284,17140
68,208,17060
-4,284,17036
64,304,17156
16,432,17092
4,308,17092
-8,280,17272
20,296,17116
32,328,17176
-60,440,17152
96,412,17132
160,428,17224
40,384,17212
-36,392,17184
-68,336,17156
92,412,17140
-12,220,17120
28,244,17036
40,480,17208
16,488,17148
-84,300,17112
8,384,17196
-84,332,17132
-192,364,17168
-148,372,17180
-128,292,17104
-176,208,17072
-68,288,17064
-92,296,17144
16,400,17108
-180,292,17096
-124,300,17132
-88,256,17140
-32,244,17120
-12,304,16984
204,124,16788
36,296,17032
-24,296,17080
-4,348,17212
-32,424,17212
76,292,17120
-52,352,17176
40,328,17208
28,368,17160
32,216,17188
8,368,17136
-80,420,17148
-108,384,17164
-64,316,17228
60,304,17152
-28,372,17252
-120,268,17176
-44,388,17172
-80,236,17196
-56,368,17204
-56,500,17212
-48,472,17192
-92,372,17144
-68,356,17036
-140,332,17252
-208,272,17160
-432,204,17100
-204,200,17048
-188,96,17032
-192,236,17052
-156,268,17144
-136,328,17184
-164,308,17164
-236,224,17216
-108,272,17052
-168,352,17220
-160,328,17204
-240,416,17280
-116,216,17108
-172,184,17160
-112,300,17176
-96,276,17244
-172,296,17184
-112,256,17040
-172,312,17100
-160,144,17072
-116,164,17068
-100,184,17136
-140,368,17272
-212,204,17172
-176,236,17280
-144,220,17152
-180,180,17180
-60,292,17156
-140,244,17168
48,276,17316
-180,256,17080
-92,264,17100
-100,252,17124
-160,452,17152
-144,260,17144
-28,276,17004
-32,304,17012
-44,292,17096
-120,252,17200
-80,280,17112
-48,316,17032
-208,228,17144
-208,144,17152
-168,188,17020
-108,292,17220
-168,380,17220
-252,224,17152
-212,240,17104
-200,216,17076
-124,344,17120
-112,240,17132
-200,204,17204
-244,224,17072
-212,256,17208
-148,256,17300
-192,152,17176
-108,332,17212
-192,360,17320
-232,188,17056
-128,204,17128
-124,276,17068
-92,332,17360
-92,344,17284
-148,384,17288
-184,292,17148
-172,296,17056
-136,276,17064
-220,252,17044
-140,332,17216
-188,348,17124
-84,296,17148
-236,252,17040
-216,224,17244
-264,344,17300
-140,332,17232
-192,200,17160
-108,276,17264
-44,284,17224
-68,240,17156
-152,260,17140
-100,148,17108
-204,280,17148
-228,252,17020
-272,236,17068
-132,312,17236
-36,372,17252
-84,352,17188
-168,260,17252
-60,240,17092
-256,232,17080
-180,392,17140
-144,320,17172
-96,208,17136
-136,292,17176
-148,364,17268
-60,344,17204
-164,248,17160
-100,332,17148
-252,396,17072
-268,248,17148
-264,260,17248
-308,380,17040
-272,284,17032
-164,312,17224
-128,348,17240
-404,164,17076
-272,204,17104
-20,392,17124
-92,468,17172
-12,392,17296
-88,352,17224
-140,184,17124
-16,564,17348
-8,376,17224
32,328,17132
-36,412,17140
-128,352,17172
-136,356,17140
-256,320,17184
-184,196,17180
-60,268,17184
-132,208,17116
-160,104,17164
-372,88,17172
-212,76,17200
-152,208,17288
-164,160,17216
-288,240,17156
-264,108,16940
-148,184,17052
20,340,17284
24,192,17188
-56,176,17128
-56,324,17164
-80,344,17224
-148,228,17124
-164,268,17140
-44,308,17116
-80,288,17148
-232,144,17200
-336,204,17164
-268,80,17068
-192,268,17068
-272,264,17128
-88,344,17284
-216,-84,17248
-248,56,17220
-180,132,16992
-124,236,17164
-40,188,17176
-184,160,17168
-180,40,17164
-240,64,17076
-324,4,17088
-208,-152,17152
-284,-12,17060
-136,96,17080
-104,168,17208
-236,228,17200
-164,136,17108
-140,332,17340
-152,340,17288
-340,120,17072
-188,112,17168
-280,148,17092
-284,128,17172
-244,124,17184
-368,64,17316
-232,68,17104
-300,160,17144
-64,360,17156
-204,208,17096
-372,156,17192
-184,224,17152
-224,300,17144
-180,168,17224
-204,244,17244
-228,268,17116
-196,164,17196
32,168,17112
-192,116,17204
-268,60,17168
-244,60,17236
-204,116,17240
-152,168,17316
-336,96,17100
-164,176,17116
-224,188,17160
-208,152,17064
-156,160,17176
-124,124,17224
-172,172,17156
-120,220,17216
-164,140,17288
-220,128,17184
-188,284,17232
44,312,17176
-28,244,17188
-80,236,17240
-128,200,17136
-112,168,17116
-156,176,17008
-364,104,17172
-200,112,17228
-228,68,17124
-232,240,17172
-172,152,17096
-216,144,17184
-216,84,17040
-196,148,16904
-212,164,17100
-252,-44,17176
-260,24,17000
-100,228,17148
-284,164,16952
-216,96,17068
-276,76,17124
-212,156,17132
-176,8,16964
-80,52,17016
-128,224,17272
-76,200,17244
-68,292,17248
-88,192,17068
-36,340,17292
-212,176,17228
-64,172,17124
-152,156,17140
-76,220,17072
-188,248,17096
-264,204,16928
-308,108,17212
-248,188,17108
-256,144,17128
-212,160,17164
-208,4,17116
-424,100,17176
-388,108,17168
-364,100,17176
-440,44,17168
-360,24,17152
-324,64,17236
-212,168,17100
-144,168,17168
-344,-92,17060
-200,28,17100
-204,132,17184
-344,-12,17044
-408,-80,17056
-252,100,17216
-256,0,17036
-224,28,16900
-272,164,16904
-252,-48,16928
-264,184,17172
-256,376,17172
-196,100,17196
-516,72,17248
-168,24,17332
-492,-80,17088
-312,-40,17032
-232,28,17032
-236,228,17108
-164,8,17168
-340,324,17112
-180,72,17016
-568,-52,16924
-312,120,17128
-308,212,17104
-308,68,17076
-312,48,16948
-268,-24,17036
-424,248,17180
-308,356,17232
-320,4,17220
-300,200,17276
-452,220,17172
-612,-36,17196
-304,80,17204
-284,124,17228
-320,92,17176
-292,264,17052
-256,164,17160
-248,148,17240
-368,132,17192
-272,52,17020
-252,132,17068
-188,248,16944
-276,56,17192
-132,152,17192
-92,240,17292
-228,212,17156
-276,-64,17240
-348,12,17260
